patcnty1,dsch_yr,disp1,Discharges
Alameda,2012,Acute Care at another hospital,3031
Alameda,2012,Acute Care within the admitting hospital,325
Alameda,2012,Died,2907
Alameda,2012,Home Health Service,14623
Alameda,2012,Invalid,3
Alameda,2012,Left Against Medical Advice,1362
Alameda,2012,Other,216
Alameda,2012,Other Care (not SN/IC) at another hospital,2059
Alameda,2012,Other Care with the admitting hospital,494
Alameda,2012,Prison/Jail,338
Alameda,2012,Residential Care facility,1912
Alameda,2012,Routine (Home),103683
Alameda,2012,SN/IC at another facility,13216
Alameda,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1278
Alameda,2013,Acute Care at another hospital,3135
Alameda,2013,Acute Care within the admitting hospital,334
Alameda,2013,Died,2920
Alameda,2013,Home Health Service,13541
Alameda,2013,Invalid,7
Alameda,2013,Left Against Medical Advice,1314
Alameda,2013,Other,232
Alameda,2013,Other Care (not SN/IC) at another hospital,1950
Alameda,2013,Other Care with the admitting hospital,490
Alameda,2013,Prison/Jail,307
Alameda,2013,Residential Care facility,1300
Alameda,2013,Routine (Home),99675
Alameda,2013,SN/IC at another facility,13446
Alameda,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1109
Alameda,2014,Acute Care at another hospital,2990
Alameda,2014,Acute Care within the admitting hospital,206
Alameda,2014,Died,2823
Alameda,2014,Home Health Service,14985
Alameda,2014,Invalid,31
Alameda,2014,Left Against Medical Advice,1378
Alameda,2014,Other,207
Alameda,2014,Other Care (not SN/IC) at another hospital,2005
Alameda,2014,Other Care with the admitting hospital,449
Alameda,2014,Prison/Jail,349
Alameda,2014,Residential Care facility,1243
Alameda,2014,Routine (Home),97055
Alameda,2014,SN/IC at another facility,13233
Alameda,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,630
Alameda,2015,Acute Care,2884
Alameda,2015,Childrens_or_Cancer,289
Alameda,2015,Critical Access Hospital,25
Alameda,2015,Died,2771
Alameda,2015,Disaster_Care_Site,4
Alameda,2015,Home Health Service,16810
Alameda,2015,Hospice_Care,1408
Alameda,2015,Invalid or Blank,51
Alameda,2015,Left Against Medical Advice,1407
Alameda,2015,Not_Defined_Elsewhere,759
Alameda,2015,Other,34
Alameda,2015,Prison/Jail,288
Alameda,2015,Psychiatric_Care,411
Alameda,2015,Rehab,1403
Alameda,2015,Residential Care facility,714
Alameda,2015,Routine (Home),93867
Alameda,2015,Skilled Nursing/Intermediate Care (SN/IC),13827
Alameda,2016,Acute Care,3422
Alameda,2016,Childrens_or_Cancer,88
Alameda,2016,Critical Access Hospital,18
Alameda,2016,Died,2822
Alameda,2016,Home Health Service,17856
Alameda,2016,Hospice_Care,1484
Alameda,2016,Invalid or Blank,4
Alameda,2016,Left Against Medical Advice,1423
Alameda,2016,Not_Defined_Elsewhere,852
Alameda,2016,Other,23
Alameda,2016,Prison/Jail,278
Alameda,2016,Psychiatric_Care,386
Alameda,2016,Rehab,1530
Alameda,2016,Residential Care facility,708
Alameda,2016,Routine (Home),92947
Alameda,2016,Skilled Nursing/Intermediate Care (SN/IC),13745
Alameda,2017,Acute Care,3455
Alameda,2017,Childrens_or_Cancer,71
Alameda,2017,Critical Access Hospital,14
Alameda,2017,Died,2909
Alameda,2017,Disaster_Care_Site,4
Alameda,2017,Home Health Service,18479
Alameda,2017,Hospice_Care,1590
Alameda,2017,Invalid or Blank,1
Alameda,2017,Left Against Medical Advice,1351
Alameda,2017,Not_Defined_Elsewhere,769
Alameda,2017,Other,28
Alameda,2017,Prison/Jail,285
Alameda,2017,Psychiatric_Care,355
Alameda,2017,Rehab,1531
Alameda,2017,Residential Care facility,742
Alameda,2017,Routine (Home),90084
Alameda,2017,Skilled Nursing/Intermediate Care (SN/IC),13682
Alameda,2018,Acute Care,3773
Alameda,2018,Childrens_or_Cancer,62
Alameda,2018,Critical Access Hospital,6
Alameda,2018,Died,2924
Alameda,2018,Home Health Service,17763
Alameda,2018,Hospice_Care,1626
Alameda,2018,Invalid or Blank,1
Alameda,2018,Left Against Medical Advice,1414
Alameda,2018,Not_Defined_Elsewhere,530
Alameda,2018,Other,26
Alameda,2018,Prison/Jail,288
Alameda,2018,Psychiatric_Care,363
Alameda,2018,Rehab,1566
Alameda,2018,Residential Care facility,1038
Alameda,2018,Routine (Home),87283
Alameda,2018,Skilled Nursing/Intermediate Care (SN/IC),13386
Alpine,2012,Acute Care at another hospital,1
Alpine,2012,Died,2
Alpine,2012,Home Health Service,2
Alpine,2012,Routine (Home),26
Alpine,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1
Alpine,2013,Died,1
Alpine,2013,Home Health Service,1
Alpine,2013,Other Care with the admitting hospital,1
Alpine,2013,Residential Care facility,1
Alpine,2013,Routine (Home),19
Alpine,2013,SN/IC at another facility,1
Alpine,2014,Home Health Service,2
Alpine,2014,Other Care with the admitting hospital,1
Alpine,2014,Residential Care facility,1
Alpine,2014,Routine (Home),13
Alpine,2014,SN/IC at another facility,2
Alpine,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1
Alpine,2015,Acute Care,1
Alpine,2015,Home Health Service,6
Alpine,2015,Routine (Home),22
Alpine,2016,Home Health Service,2
Alpine,2016,Hospice_Care,1
Alpine,2016,Left Against Medical Advice,1
Alpine,2016,Psychiatric_Care,1
Alpine,2016,Routine (Home),20
Alpine,2016,Skilled Nursing/Intermediate Care (SN/IC),3
Alpine,2017,Home Health Service,3
Alpine,2017,Left Against Medical Advice,1
Alpine,2017,Routine (Home),25
Alpine,2018,Acute Care,7
Alpine,2018,Critical Access Hospital,1
Alpine,2018,Died,2
Alpine,2018,Home Health Service,1
Alpine,2018,Hospice_Care,1
Alpine,2018,Left Against Medical Advice,1
Alpine,2018,Rehab,1
Alpine,2018,Routine (Home),41
Alpine,2018,Skilled Nursing/Intermediate Care (SN/IC),2
Amador,2012,Acute Care at another hospital,218
Amador,2012,Acute Care within the admitting hospital,8
Amador,2012,Died,104
Amador,2012,Home Health Service,481
Amador,2012,Left Against Medical Advice,23
Amador,2012,Other,18
Amador,2012,Other Care (not SN/IC) at another hospital,34
Amador,2012,Other Care with the admitting hospital,13
Amador,2012,Prison/Jail,188
Amador,2012,Residential Care facility,30
Amador,2012,Routine (Home),2873
Amador,2012,SN/IC at another facility,375
Amador,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,24
Amador,2013,Acute Care at another hospital,164
Amador,2013,Acute Care within the admitting hospital,2
Amador,2013,Died,101
Amador,2013,Home Health Service,528
Amador,2013,Left Against Medical Advice,29
Amador,2013,Other,9
Amador,2013,Other Care (not SN/IC) at another hospital,34
Amador,2013,Other Care with the admitting hospital,11
Amador,2013,Prison/Jail,201
Amador,2013,Residential Care facility,27
Amador,2013,Routine (Home),2682
Amador,2013,SN/IC at another facility,360
Amador,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,8
Amador,2014,Acute Care at another hospital,165
Amador,2014,Acute Care within the admitting hospital,3
Amador,2014,Died,118
Amador,2014,Home Health Service,534
Amador,2014,Invalid,1
Amador,2014,Left Against Medical Advice,22
Amador,2014,Other,8
Amador,2014,Other Care (not SN/IC) at another hospital,61
Amador,2014,Other Care with the admitting hospital,16
Amador,2014,Prison/Jail,247
Amador,2014,Residential Care facility,23
Amador,2014,Routine (Home),2623
Amador,2014,SN/IC at another facility,389
Amador,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,7
Amador,2015,Acute Care,178
Amador,2015,Childrens_or_Cancer,9
Amador,2015,Critical Access Hospital,8
Amador,2015,Died,99
Amador,2015,Home Health Service,625
Amador,2015,Hospice_Care,62
Amador,2015,Invalid or Blank,7
Amador,2015,Left Against Medical Advice,90
Amador,2015,Not_Defined_Elsewhere,19
Amador,2015,Other,2
Amador,2015,Prison/Jail,221
Amador,2015,Psychiatric_Care,4
Amador,2015,Rehab,41
Amador,2015,Residential Care facility,15
Amador,2015,Routine (Home),2707
Amador,2015,Skilled Nursing/Intermediate Care (SN/IC),447
Amador,2016,Acute Care,184
Amador,2016,Childrens_or_Cancer,1
Amador,2016,Critical Access Hospital,5
Amador,2016,Died,114
Amador,2016,Home Health Service,533
Amador,2016,Hospice_Care,75
Amador,2016,Left Against Medical Advice,43
Amador,2016,Not_Defined_Elsewhere,9
Amador,2016,Prison/Jail,268
Amador,2016,Psychiatric_Care,13
Amador,2016,Rehab,37
Amador,2016,Residential Care facility,23
Amador,2016,Routine (Home),2768
