,PRCP,SNWD,TAVG,TMAX,TMIN,century,date,month,month_no,year
0,0.0,,1.4,2.2,-0.6,18,1881-01-01,1881-01-01,1,1881-01-01
1,0.0,,-2.9,1.0,-5.5,18,1881-01-02,1881-01-01,1,1881-01-01
2,0.0,,-4.8,-2.1,-7.2,18,1881-01-03,1881-01-01,1,1881-01-01
3,0.0,,-3.6,0.1,-5.1,18,1881-01-04,1881-01-01,1,1881-01-01
4,0.0,,-0.9,0.6,-6.9,18,1881-01-05,1881-01-01,1,1881-01-01
5,0.0,,-4.5,-1.5,-5.1,18,1881-01-06,1881-01-01,1,1881-01-01
6,0.0,,-4.3,-1.6,-8.8,18,1881-01-07,1881-01-01,1,1881-01-01
7,0.0,,-4.4,-1.1,-6.9,18,1881-01-08,1881-01-01,1,1881-01-01
8,0.6,,-11.2,-7.2,-14.4,18,1881-01-09,1881-01-01,1,1881-01-01
9,0.0,,-11.3,-8.2,-15.2,18,1881-01-10,1881-01-01,1,1881-01-01
10,0.0,,-6.9,-4.0,-10.0,18,1881-01-11,1881-01-01,1,1881-01-01
11,0.0,,-9.1,-6.2,-11.6,18,1881-01-12,1881-01-01,1,1881-01-01
12,4.6,,-12.2,-10.9,-16.4,18,1881-01-13,1881-01-01,1,1881-01-01
13,3.0,,-9.4,-6.6,-12.7,18,1881-01-14,1881-01-01,1,1881-01-01
14,0.0,,-17.4,-13.5,-19.7,18,1881-01-15,1881-01-01,1,1881-01-01
15,0.0,,-15.5,-12.5,-20.0,18,1881-01-16,1881-01-01,1,1881-01-01
16,1.2,,-13.5,-11.5,-15.0,18,1881-01-17,1881-01-01,1,1881-01-01
17,0.0,,-12.1,-8.4,-15.4,18,1881-01-18,1881-01-01,1,1881-01-01
18,0.5,,-15.9,-14.0,-18.1,18,1881-01-19,1881-01-01,1,1881-01-01
19,3.6,,-8.5,-6.0,-14.5,18,1881-01-20,1881-01-01,1,1881-01-01
20,0.1,,-11.0,-7.1,-13.6,18,1881-01-21,1881-01-01,1,1881-01-01
21,0.0,,-13.1,-12.4,-15.6,18,1881-01-22,1881-01-01,1,1881-01-01
22,0.0,,-13.9,-10.9,-15.9,18,1881-01-23,1881-01-01,1,1881-01-01
23,0.0,,-15.1,-11.1,-17.7,18,1881-01-24,1881-01-01,1,1881-01-01
24,0.0,,-13.0,-10.7,-18.9,18,1881-01-25,1881-01-01,1,1881-01-01
25,0.0,,-13.4,-8.6,-17.1,18,1881-01-26,1881-01-01,1,1881-01-01
26,0.0,,-18.1,-15.5,-20.2,18,1881-01-27,1881-01-01,1,1881-01-01
27,0.0,,-17.8,-15.1,-21.2,18,1881-01-28,1881-01-01,1,1881-01-01
28,0.4,,-9.2,-6.5,-16.0,18,1881-01-29,1881-01-01,1,1881-01-01
29,0.0,,-5.8,-3.8,-7.1,18,1881-01-30,1881-01-01,1,1881-01-01
30,0.0,,-5.9,-4.5,-6.5,18,1881-01-31,1881-01-01,1,1881-01-01
31,0.0,,-7.7,-6.4,-8.2,18,1881-02-01,1881-02-01,2,1881-01-01
32,0.0,,-4.9,-2.6,-7.6,18,1881-02-02,1881-02-01,2,1881-01-01
33,2.5,,-4.0,-1.4,-5.6,18,1881-02-03,1881-02-01,2,1881-01-01
34,0.2,,-4.6,-3.5,-6.5,18,1881-02-04,1881-02-01,2,1881-01-01
35,0.0,,-5.2,-2.7,-6.5,18,1881-02-05,1881-02-01,2,1881-01-01
36,0.0,,-5.0,-3.9,-7.4,18,1881-02-06,1881-02-01,2,1881-01-01
37,3.0,,-0.8,-0.5,-4.0,18,1881-02-07,1881-02-01,2,1881-01-01
38,1.3,,-0.6,1.0,-2.2,18,1881-02-08,1881-02-01,2,1881-01-01
39,0.0,,-2.1,-0.6,-3.1,18,1881-02-09,1881-02-01,2,1881-01-01
40,3.8,,-0.5,1.9,-1.9,18,1881-02-10,1881-02-01,2,1881-01-01
41,0.0,,-0.4,0.8,-1.1,18,1881-02-11,1881-02-01,2,1881-01-01
