Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2011-2012,Alameda,Alameda Hospital,106010735,30-day Readmission,18.66,18.0,92.0,As Expected,"(37.762953, -122.25362)"
2011-2012,Alameda,Alameda Hospital,106010735,30-day Mortality,12.22,12.0,95.0,As Expected,"(37.762953, -122.25362)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Readmission,11.91,34.0,281.0,As Expected,"(37.85633, -122.25784)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Mortality,9.82,24.0,287.0,As Expected,"(37.85633, -122.25784)"
2011-2012,Alameda,Eden Medical Center,106010805,30-day Mortality,12.36,53.0,399.0,As Expected,"(37.69871, -122.08753)"
2011-2012,Alameda,Eden Medical Center,106010805,30-day Readmission,13.4,51.0,376.0,As Expected,"(37.69871, -122.08753)"
2011-2012,Alameda,Alameda County Medical Center,106010846,30-day Mortality,14.63,9.0,205.0,As Expected,"(37.79917, -122.2312)"
2011-2012,Alameda,Alameda County Medical Center,106010846,30-day Readmission,11.04,20.0,199.0,As Expected,"(37.79917, -122.2312)"
2011-2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Readmission,12.12,75.0,542.0,As Expected,"(37.82425, -122.25792)"
2011-2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Mortality,7.45,44.0,563.0,Better,"(37.82425, -122.25792)"
2011-2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Readmission,12.27,49.0,369.0,As Expected,"(37.62593, -122.09338)"
2011-2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Mortality,10.72,49.0,384.0,As Expected,"(37.62593, -122.09338)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Mortality,9.25,44.0,462.0,As Expected,"(37.82106, -122.26257)"
2011-2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Readmission,10.17,54.0,441.0,As Expected,"(37.82106, -122.26257)"
2011-2012,Alameda,Saint Rose Hospital,106010967,30-day Readmission,17.48,18.0,102.0,As Expected,"(37.63291, -122.08962)"
2011-2012,Alameda,Saint Rose Hospital,106010967,30-day Mortality,11.73,12.0,108.0,As Expected,"(37.63291, -122.08962)"
2011-2012,Alameda,Washington Hospital – Fremont,106010987,30-day Readmission,14.18,51.0,342.0,As Expected,"(37.55847, -121.98006)"
2011-2012,Alameda,Washington Hospital – Fremont,106010987,30-day Mortality,9.41,42.0,357.0,As Expected,"(37.55847, -121.98006)"
2011-2012,Alameda,San Leandro Hospital,106013619,30-day Readmission,8.92,8.0,71.0,As Expected,"(37.71364, -122.14067)"
2011-2012,Alameda,San Leandro Hospital,106013619,30-day Mortality,10.22,8.0,76.0,As Expected,"(37.71364, -122.14067)"
2011-2012,Alameda,Valleycare Medical Center,106014050,30-day Readmission,18.09,19.0,115.0,As Expected,"(37.69206, -121.88095)"
2011-2012,Alameda,Valleycare Medical Center,106014050,30-day Mortality,9.36,10.0,119.0,As Expected,"(37.69206, -121.88095)"
2011-2012,Amador,Sutter Amador Hospital,106034002,30-day Readmission,5.43,5.0,100.0,As Expected,"(38.34743, -120.77272)"
2011-2012,Amador,Sutter Amador Hospital,106034002,30-day Mortality,11.34,14.0,105.0,As Expected,"(38.34743, -120.77272)"
2011-2012,Butte,Feather River Hospital,106040875,30-day Readmission,9.72,12.0,137.0,As Expected,"(39.75641, -121.57218)"
2011-2012,Butte,Feather River Hospital,106040875,30-day Mortality,7.11,12.0,139.0,As Expected,"(39.75641, -121.57218)"
2011-2012,Butte,Oroville Hospital,106040937,30-day Readmission,15.3,24.0,174.0,As Expected,"(39.50485, -121.5428)"
2011-2012,Butte,Oroville Hospital,106040937,30-day Mortality,8.13,10.0,176.0,As Expected,"(39.50485, -121.5428)"
2011-2012,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Mortality,8.03,41.0,435.0,As Expected,"(39.74224, -121.84922)"
2011-2012,Butte,Enloe Medical Center – Esplanade Campus,106040962,30-day Readmission,9.88,36.0,411.0,As Expected,"(39.74224, -121.84922)"
2011-2012,Calaveras,Mark Twain Saint Joseph’s Hospital,106050932,30-day Readmission,15.31,7.0,51.0,As Expected,"(38.19021, -120.67105)"
2011-2012,Calaveras,Mark Twain Saint Joseph’s Hospital,106050932,30-day Mortality,12.82,9.0,56.0,As Expected,"(38.19021, -120.67105)"
2011-2012,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Readmission,12.93,34.0,238.0,As Expected,"(37.95279, -122.33866)"
2011-2012,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Mortality,10.43,27.0,251.0,As Expected,"(37.95279, -122.33866)"
2011-2012,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Readmission,12.39,12.0,105.0,As Expected,"(38.00646, -122.13101)"
2011-2012,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Mortality,13.94,7.0,111.0,As Expected,"(38.00646, -122.13101)"
2011-2012,Contra Costa,Sutter Delta Medical Center,106070934,30-day Readmission,13.93,27.0,172.0,As Expected,"(37.98222, -121.8054)"
2011-2012,Contra Costa,Sutter Delta Medical Center,106070934,30-day Mortality,7.73,17.0,180.0,As Expected,"(37.98222, -121.8054)"
2011-2012,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Readmission,10.67,37.0,368.0,As Expected,"(37.91434, -122.04183)"
2011-2012,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Mortality,8.69,55.0,408.0,As Expected,"(37.91434, -122.04183)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Readmission,11.01,39.0,324.0,As Expected,"(37.8923, -122.05828)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Mortality,9.16,45.0,344.0,As Expected,"(37.8923, -122.05828)"
2011-2012,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Readmission,13.57,42.0,282.0,As Expected,"(37.98615, -122.03874)"
2011-2012,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Mortality,9.33,32.0,300.0,As Expected,"(37.98615, -122.03874)"
2011-2012,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission,12.11,13.0,114.0,As Expected,"(37.77713, -121.96076)"
2011-2012,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Mortality,9.55,12.0,123.0,As Expected,"(37.77713, -121.96076)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Readmission,8.79,19.0,197.0,As Expected,"(37.951975, -121.776854)"
2011-2012,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Mortality,10.25,28.0,208.0,As Expected,"(37.951975, -121.776854)"
2011-2012,Del Norte,Sutter Coast Hospital,106084001,30-day Readmission,10.62,8.0,83.0,As Expected,"(41.77278, -124.19514)"
2011-2012,Del Norte,Sutter Coast Hospital,106084001,30-day Mortality,6.39,6.0,87.0,As Expected,"(41.77278, -124.19514)"
2011-2012,El Dorado,Barton Memorial Hospital,106090793,30-day Readmission,6.09,2.0,36.0,As Expected,"(38.91224, -119.99784)"
2011-2012,El Dorado,Barton Memorial Hospital,106090793,30-day Mortality,14.26,5.0,39.0,As Expected,"(38.91224, -119.99784)"
2011-2012,El Dorado,Marshall Medical Center,106090933,30-day Readmission,9.36,15.0,160.0,As Expected,"(38.72557326, -120.7909638)"
2011-2012,El Dorado,Marshall Medical Center,106090933,30-day Mortality,11.5,31.0,177.0,As Expected,"(38.72557326, -120.7909638)"
2011-2012,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,12.61,20.0,166.0,As Expected,"(36.83745, -119.66072)"
2011-2012,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,10.29,13.0,169.0,As Expected,"(36.83745, -119.66072)"
2011-2012,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Readmission,14.26,94.0,639.0,As Expected,"(36.74253, -119.78324)"
2011-2012,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Mortality,12.48,62.0,677.0,As Expected,"(36.74253, -119.78324)"
2011-2012,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,13.74,104.0,749.0,As Expected,"(36.8370782, -119.7649963)"
2011-2012,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,12.6,101.0,793.0,As Expected,"(36.8370782, -119.7649963)"
2011-2012,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,12.29,42.0,319.0,As Expected,"(36.84246, -119.7832)"
2011-2012,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,11.08,36.0,300.0,As Expected,"(36.84246, -119.7832)"
2011-2012,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,22.39,9.0,51.0,As Expected,"(40.90351, -124.09038)"
2011-2012,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,17.79,8.0,51.0,As Expected,"(40.90351, -124.09038)"
2011-2012,Humboldt,Redwood Memorial Hospital,106121051,30-day Readmission,11.56,4.0,37.0,As Expected,"(40.58267, -124.13549)"
2011-2012,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,15.82,10.0,41.0,As Expected,"(40.58267, -124.13549)"
